"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
349,1,5,235.722479581833,20,5417.65824247548,5476.55130582327,0.0766506968541884,0.0185778151588613,0.135305196059816,,,,,,,0.732625068519782,-0.353835185033128,0.328576758201795,-0.694902448919178,0.830313585034094,,,-0.00475917392561488,0.00475907824130019,0.00143496008415315,-0.00294119878493271,"Success",""
350,1,5,295.65142250061,21,5714.35417168974,5773.24723503753,0.02289805599261,0.0204102436488954,0.19315631773077,,,,,,,0.702796913582442,-0.330822931211255,0.326924781452441,-0.653526368390014,0.754744260357818,,,-0.00266397214928322,0.00270106604720618,0.00062481143279091,-0.00213824001610353,"Success",""
351,2,1,99.0904121398926,11,5667.67245430483,5711.84225181567,0.0122820624489046,0.0229220455087275,0.203465098594122,-0.127161408628609,,,,,,0.920140454870164,,,,,,,-0.000705124908412195,0.000714244870478893,0.000279802239543064,-0.00101352233945871,"Success",""
352,3,7,366.134031057358,27,5747.49431942065,5826.01840388436,0.079583842010004,0.0244012314615477,0.225258668051229,0.20756223184616,0.11701812820314,,,,,-0.326672220363283,-0.189556187853366,0.250448751689818,-0.315680777230296,0.302360635615752,0.485618921813419,0.219473377441445,-0.010824563973006,0.010840719012716,0.00539719258415808,-0.00549296428101976,"Success",""
353,3,1,165.339100599289,14,5811.83251435115,5860.91006714098,0.0173418900825134,0.0333713543896035,0.258387503534029,-0.164695582266559,-0.0535192152154627,,,,,0.954839019744757,,,,,,,-0.000663594375330997,0.000640828675831686,0.000361528373829843,-1e-04,"Success",""
354,2,3,151.592535734177,14,5777.99901620413,5831.98432427293,0.149686970563222,0.0221374221909278,0.156982625007573,0.082523101870256,,,,,,-0.325718593286085,0.183212489307235,0.86068924524786,,,,,-0.0089937110056171,0.00896662820083724,0.003193746799132,-0.00344425984440088,"Success",""
355,2,3,201.285765171051,16,5656.95749431566,5710.94280238446,0.0266671772073967,0.029538256913046,0.155508286800457,0.052157606043699,,,,,,-0.265584758797078,0.221113219922164,0.828762848167659,,,,,-0.00363255366591727,0.00370235868163192,0.00216915509614426,-0.00483270014757299,"Success",""
356,2,6,389.395696640015,25,5501.87676754566,5570.58534145141,0.126237909076795,0.0131613324035925,0.198432227970516,0.132100157454796,,,,,,-0.248589893806489,0.333022614293053,0.0422523735202242,-0.28794846025063,0.0117038636098282,0.783052573719783,,-0.00517419912251014,0.0051300076724183,0.000165090026644036,-0.00218743153051332,"Success",""
357,2,4,254.223333835602,19,5418.42131673529,5477.31438008308,0.0188276462695706,0.0191046315611068,0.154255148024173,-0.0882773892346183,,,,,,0.99980332438004,-0.0199038569945107,-0.825473925178167,0.773677651291939,,,,-0.00306769279772028,0.00308572060578696,0.00247113991993088,-0.00295666362392009,"Success",""
358,2,1,181.346041440964,14,5628.95104108669,5673.12083859753,0.00833093102377136,0.0254284205340597,0.260547314627176,-0.196700748392102,,,,,,0.933743856583003,,,,,,,-0.00120347618328695,0.00122314280491165,0.000263986562734216,-0.0008779315805127,"Success",""
359,2,1,90.2255709171295,11,5863.07750213756,5907.2472996484,0.0258865439798292,0.0275975270480427,0.219522404972789,-0.173211417003478,,,,,,0.945422792511706,,,,,,,-0.00170702868852803,0.00171970068004696,0.000679393477813171,-0.000901681994265664,"Success",""
360,2,1,94.6392765045166,11,5683.69740786619,5727.86720537703,0.00606838057126514,0.0344338797206964,0.243491903631419,-0.194844438605064,,,,,,0.949411571230566,,,,,,,-0.00126590162731874,0.0012817787519182,0.000120496854402457,-0.000351856699136045,"Success",""
361,2,1,138.581326246262,11,5561.56582878233,5605.73562629316,0.0264472737178966,0.0235560498931489,0.202412235376771,-0.195258672520468,,,,,,0.984961743444258,,,,,,,-0.000666804365602169,0.000638730187101955,-0.000223691756360859,0.000614077103929909,"Success",""
