"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
826,2,6,104.684490680695,25,5701.53960673432,5770.24818064007,0.0605269896116737,0.029064849412495,0.202736717179063,0.163276962721181,,,,,,-0.292005673002646,0.312913940557897,-0.000609171390571059,-0.330930222706085,0.121503974802684,0.805557760253697,,-0.0063732850506589,0.00633926436299952,0.0025753655823242,-0.00233836081025521,"Success",""
827,1,3,114.144347429276,14,5493.05393601384,5542.13148880366,0.00462874937617849,0.0281071095651941,0.157431276670895,,,,,,,0.662320366896154,-0.464754936151581,0.643667666465472,,,,,-0.00189397262718934,0.00195756186205287,0.000537723753812278,-0.00285757314643545,"Success",""
828,1,6,102.735162258148,22,5505.18172707097,5568.98254569774,0.0468757761115479,0.0231416827934065,0.229576533013454,,,,,,,0.086394301441006,0.270899348233552,-0.0493159882934965,-0.104147858793617,-0.106345399889689,0.659232865834668,,-0.00453361532729094,0.00466737092269239,0.002453565269423,-0.00794277369193612,"Success",""
829,1,5,100.971521854401,20,5439.85315466284,5498.74621801063,0.058542408196432,0.0256781050512293,0.186521054974357,,,,,,,0.648539649608191,-0.334297834213201,0.315858930475388,-0.668894238350719,0.83595005364939,,,-0.0044568379614817,0.00444024463374946,0.00175553501500581,-0.00272932201623963,"Success",""
830,2,4,71.6872050762177,18,5661.38324219473,5720.27630554251,0.160668825978038,0.0246394077485581,0.179210556025428,0.118603157968212,,,,,,-0.77760936696088,0.161338580571066,0.682582819408957,0.592511196185326,,,,-0.0115758825702177,0.0116064475983347,0.00622143849620748,-0.00975824606068267,"Success",""
831,2,7,218.173827171326,24,5558.2696471443,5631.88597632903,0.160649836490781,0.019225789015149,0.254617212681683,0.217579863411634,,,,,,-0.561799450450121,0.31726138996891,0.140070644194848,-0.252627775266821,-0.0668609759804393,0.682893818304073,0.223710833842384,-0.00633326317174717,0.0062567993165502,0.00149186658901536,-0.00433287035059725,"Success",""
832,2,7,111.507494211197,24,5484.37860091425,5557.99493009898,0.0982232208768541,0.0227594075617095,0.233573855259696,0.160784753422647,,,,,,-0.358882466314218,0.289507041264505,0.041531315888993,-0.294453949096702,0.0911287134345735,0.772188512110046,0.0357142810780825,-0.0074656875406739,0.00737265421653401,0.000902758447036387,0.000301520978428454,"Success",""
833,3,2,85.6706266403198,17,5704.89123251891,5758.87654058771,0.0557495791962683,0.0230346442151094,0.290278493801806,0.00154781207030305,-0.212276480361931,,,,,-0.0446952748334809,0.949201902438183,,,,,,-0.00398370934358356,0.00401714210571877,0.000507678239625831,-0.00165653826366274,"Success",""
834,3,3,429.184911727905,18,5824.86071800059,5883.75378134838,0.0233329780004186,0.0255429678269728,0.227363841040115,-0.0337734775686623,-0.213114192814503,,,,,0.23334777150275,0.505680826002337,0.273496239820435,,,,,-0.00252483406553121,0.0025537578718967,0.000995609927128442,-0.00145537623183926,"Success",""
835,3,6,215.831931591034,30,5562.02079886912,5635.63712805385,0.325674130206131,0.022020933243983,0.152651167810427,0.136697988939866,0.0406569248565638,,,,,-0.160849971563878,0.100646398086732,0.0596494456242588,-0.209020824167065,-0.0355534989301788,0.821120845535959,,-0.00589062668263334,0.00589031906366656,-0.000400240662759503,-0.00865748126701748,"Success",""
