"method"     , "sim_id", "p_order", "q_order", "time"           , "n_models_tested", "aic"           , "bic"           , "intercept"        , "sigmasq"         , "beta1"           , "beta2"            , "beta3"            , "beta4"          , "alpha1"           , "alpha2"            , "alpha3"          , "alpha4"         , "status" , "error_message"
"grid_search",        2,         1,         0, 16.2700000000004 ,                  , 2036.68486808927, 2049.32869238453, 0.755880273258503  , 0.155708120906137 , 0.242223353274097 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"grid_search",        3,         1,         2, 16.25            ,                  , 1996.24234345979, 2017.3153839519 , 0.625235819527079  , 0.066270001485089 , 0.220462386178382 ,                    ,                    ,                  , -0.250885409776408 , 0.415274891556972   ,                   ,                  , "Success", ""
"grid_search",        4,         1,         0, 16.880000000001  ,                  , 2040.36125378684, 2053.00507808211, 0.898781624743592  , 0.0901647607101441, 0.174823749487219 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"grid_search",        5,         2,         0, 16.2000000000007 ,                  , 2045.8815436662 , 2062.73997605989, 0.717049374701158  , 0.125266818862986 , 0.168530473060586 , 0.124378568620241  ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"grid_search",        6,         1,         0, 16.0999999999985 ,                  , 2049.51163098578, 2062.15545528105, 0.80749624740994   , 0.115361566734043 , 0.230024082197079 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"grid_search",        7,         1,         1, 16.3499999999985 ,                  , 2020.40317055121, 2037.2616029449 , 0.175202074893871  , 0.116263323191387 , 0.135467421176897 ,                    ,                    ,                  , 0.681616643201986  ,                     ,                   ,                  , "Success", ""
"grid_search",        8,         1,         0, 17.3599999999969 ,                  , 2009.77239497746, 2022.41621927273, 0.788697365937232  , 0.0748699212806577, 0.229718524233211 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"grid_search",        9,         1,         0, 16.6400000000031 ,                  , 1993.82630920913, 2006.4701335044 , 0.720423021784625  , 0.0759276949916894, 0.280576428429166 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"grid_search",       10,         1,         3, 16.3199999999997 ,                  , 1929.30549956712, 1954.59314815765, 0.316757915527078  , 0.0738075683769473, 0.139148272127436 ,                    ,                    ,                  , -0.55664492825673  , 0.446275090360533   , 0.614325906848011 ,                  , "Success", ""
"grid_search",       11,         1,         0, 17               ,                  , 2000.78998358394, 2013.4338078792 , 0.885960861665459  , 0.101130500138951 , 0.138781291779525 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"grid_search",       12,         1,         0, 17.6899999999987 ,                  , 1965.76992263931, 1978.41374693457, 0.726531704211435  , 0.0829335937045827, 0.229021207314371 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"grid_search",       13,         1,         0, 16.2900000000009 ,                  , 2038.31885903303, 2050.9626833283 , 0.834689727093027  , 0.113203731137467 , 0.198583167347895 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
